lane_id	source_center	destination_center	route_type	week_start	segment_count	trip_count	avg_delay_minutes	prior_week_avg_delay_minutes	wow_avg_delay_change_minutes	sla_breach_rate_pct	prior_week_sla_breach_rate_pct	wow_sla_breach_rate_change_pct
IND363310AAB -> IND382430AAB | FTL	IND363310AAB	IND382430AAB	FTL	2018-09-10	30	5	9.83	NULL	NULL	26.67	NULL	NULL
IND363310AAB -> IND382430AAB | FTL	IND363310AAB	IND382430AAB	FTL	2018-09-17	12	2	12	9.83	2.17	41.67	26.67	15.00
IND363310AAB -> IND382430AAB | FTL	IND363310AAB	IND382430AAB	FTL	2018-09-24	12	2	10.75	12	-1.25	33.33	41.67	-8.34
IND363330AAB -> IND363310AAB | FTL	IND363330AAB	IND363310AAB	FTL	2018-09-10	8	4	14.25	NULL	NULL	37.50	NULL	NULL
IND363330AAB -> IND363310AAB | FTL	IND363330AAB	IND363310AAB	FTL	2018-09-17	4	2	10.75	14.25	-3.5	0.00	37.50	-37.50
IND363330AAB -> IND363310AAB | FTL	IND363330AAB	IND363310AAB	FTL	2018-09-24	4	2	9.25	10.75	-1.5	25.00	0.00	25.00
IND363421AAB -> IND364710AAA | FTL	IND363421AAB	IND364710AAA	FTL	2018-09-10	7	3	14.71	NULL	NULL	28.57	NULL	NULL
IND363421AAB -> IND364710AAA | FTL	IND363421AAB	IND364710AAA	FTL	2018-09-17	8	3	13.25	14.71	-1.46	50.00	28.57	21.43
IND363421AAB -> IND364710AAA | FTL	IND363421AAB	IND364710AAA	FTL	2018-09-24	9	4	16.22	13.25	2.97	33.33	50.00	-16.67
IND363421AAB -> IND364710AAA | FTL	IND363421AAB	IND364710AAA	FTL	2018-10-01	7	3	14	16.22	-2.22	28.57	33.33	-4.76
IND363520AAC -> IND363001AAA | FTL	IND363520AAC	IND363001AAA	FTL	2018-09-10	9	3	5	NULL	NULL	11.11	NULL	NULL
IND363520AAC -> IND363001AAA | FTL	IND363520AAC	IND363001AAA	FTL	2018-09-17	6	2	4.33	5	-0.67	0.00	11.11	-11.11
IND363520AAC -> IND363001AAA | FTL	IND363520AAC	IND363001AAA	FTL	2018-09-24	15	5	3	4.33	-1.33	0.00	0.00	0.00
IND363520AAC -> IND363001AAA | FTL	IND363520AAC	IND363001AAA	FTL	2018-10-01	9	3	2.56	3	-0.44	0.00	0.00	0.00
IND363621AAB -> IND360002AAB | Carting	IND363621AAB	IND360002AAB	Carting	2018-09-17	8	2	6.75	NULL	NULL	37.50	NULL	NULL
IND363641AAA -> IND360002AAB | Carting	IND363641AAA	IND360002AAB	Carting	2018-09-24	7	1	7	NULL	NULL	14.29	NULL	NULL
IND363641AAA -> IND363621AAB | Carting	IND363641AAA	IND363621AAB	Carting	2018-09-17	6	2	4.17	NULL	NULL	0.00	NULL	NULL
IND363641AAA -> IND363621AAB | Carting	IND363641AAA	IND363621AAB	Carting	2018-09-24	9	3	4.22	4.17	0.05	0.00	0.00	0.00
IND363641AAA -> IND363621AAB | Carting	IND363641AAA	IND363621AAB	Carting	2018-10-01	3	1	3.67	4.22	-0.55	0.00	0.00	0.00
IND364004AAB -> IND365560AAA | FTL	IND364004AAB	IND365560AAA	FTL	2018-09-10	5	1	10.2	NULL	NULL	20.00	NULL	NULL
IND364004AAB -> IND365560AAA | FTL	IND364004AAB	IND365560AAA	FTL	2018-09-17	10	2	22	10.2	11.8	40.00	20.00	20.00
IND364004AAB -> IND365560AAA | FTL	IND364004AAB	IND365560AAA	FTL	2018-09-24	14	3	15	22	-7	35.71	40.00	-4.29
IND364004AAB -> IND365560AAA | FTL	IND364004AAB	IND365560AAA	FTL	2018-10-01	5	1	11.8	15	-3.2	20.00	35.71	-15.71
IND364270AAA -> IND364001AAA | FTL	IND364270AAA	IND364001AAA	FTL	2018-09-24	4	2	17.25	NULL	NULL	50.00	NULL	NULL
IND364290AAA -> IND365560AAB | FTL	IND364290AAA	IND365560AAB	FTL	2018-10-01	2	1	17	NULL	NULL	100.00	NULL	NULL
IND365560AAA -> IND365560AAB | FTL	IND365560AAA	IND365560AAB	FTL	2018-09-10	7	2	12.57	NULL	NULL	28.57	NULL	NULL
IND365560AAA -> IND365560AAB | FTL	IND365560AAA	IND365560AAB	FTL	2018-09-17	9	3	16.44	12.57	3.87	33.33	28.57	4.76
IND365560AAA -> IND365560AAB | FTL	IND365560AAA	IND365560AAB	FTL	2018-09-24	7	2	13	16.44	-3.44	14.29	33.33	-19.04
IND365560AAB -> IND364290AAA | FTL	IND365560AAB	IND364290AAA	FTL	2018-09-10	2	1	21	NULL	NULL	100.00	NULL	NULL
IND365560AAB -> IND364290AAA | FTL	IND365560AAB	IND364290AAA	FTL	2018-09-17	8	4	25.38	21	4.38	87.50	100.00	-12.50
IND365560AAB -> IND364290AAA | FTL	IND365560AAB	IND364290AAA	FTL	2018-09-24	10	5	25	25.38	-0.38	100.00	87.50	12.50
IND365560AAB -> IND364290AAA | FTL	IND365560AAB	IND364290AAA	FTL	2018-10-01	2	1	18	25	-7	100.00	100.00	0.00
IND370001AAA -> IND370110AAA | FTL	IND370001AAA	IND370110AAA	FTL	2018-09-17	4	2	190	NULL	NULL	50.00	NULL	NULL
IND370001AAA -> IND370110AAA | FTL	IND370001AAA	IND370110AAA	FTL	2018-09-24	6	2	66	190	-124	50.00	50.00	0.00
IND370001AAA -> IND370201AAA | FTL	IND370001AAA	IND370201AAA	FTL	2018-09-10	3	1	80.33	NULL	NULL	100.00	NULL	NULL
IND370001AAA -> IND370615AAB | FTL	IND370001AAA	IND370615AAB	FTL	2018-09-10	4	2	17.25	NULL	NULL	25.00	NULL	NULL
IND370001AAA -> IND370615AAB | FTL	IND370001AAA	IND370615AAB	FTL	2018-09-17	6	3	13.67	17.25	-3.58	33.33	25.00	8.33
IND370001AAA -> IND370615AAB | FTL	IND370001AAA	IND370615AAB	FTL	2018-09-24	6	3	19.67	13.67	6	33.33	33.33	0.00
IND370110AAA -> IND370001AAA | FTL	IND370110AAA	IND370001AAA	FTL	2018-09-10	8	4	17	NULL	NULL	62.50	NULL	NULL
IND370110AAA -> IND370001AAA | FTL	IND370110AAA	IND370001AAA	FTL	2018-09-17	8	4	15.12	17	-1.88	25.00	62.50	-37.50
IND370110AAA -> IND370001AAA | FTL	IND370110AAA	IND370001AAA	FTL	2018-09-24	12	6	23.17	15.12	8.05	75.00	25.00	50.00
IND370110AAA -> IND370615AAB | FTL	IND370110AAA	IND370615AAB	FTL	2018-09-24	4	1	20	NULL	NULL	25.00	NULL	NULL
IND370201AAA -> IND363310AAB | FTL	IND370201AAA	IND363310AAB	FTL	2018-09-10	7	1	18.43	NULL	NULL	42.86	NULL	NULL
IND370201AAA -> IND363330AAB | FTL	IND370201AAA	IND363330AAB	FTL	2018-09-10	24	4	10.88	NULL	NULL	16.67	NULL	NULL
IND370201AAA -> IND363330AAB | FTL	IND370201AAA	IND363330AAB	FTL	2018-09-17	12	2	9.75	10.88	-1.13	8.33	16.67	-8.34
IND370201AAA -> IND363330AAB | FTL	IND370201AAA	IND363330AAB	FTL	2018-09-24	12	2	8.67	9.75	-1.08	25.00	8.33	16.67
IND370615AAB -> IND370001AAA | FTL	IND370615AAB	IND370001AAA	FTL	2018-09-17	1	1	243	NULL	NULL	100.00	NULL	NULL
IND370615AAB -> IND370001AAA | FTL	IND370615AAB	IND370001AAA	FTL	2018-09-24	3	2	154.67	243	-88.33	100.00	100.00	0.00
IND380005AAA -> IND382421AAA | Carting	IND380005AAA	IND382421AAA	Carting	2018-09-10	1	1	93	NULL	NULL	100.00	NULL	NULL
IND380005AAA -> IND382421AAA | Carting	IND380005AAA	IND382421AAA	Carting	2018-09-17	3	3	14.67	93	-78.33	66.67	100.00	-33.33
IND380005AAA -> IND382421AAA | Carting	IND380005AAA	IND382421AAA	Carting	2018-09-24	3	3	20	14.67	5.33	100.00	66.67	33.33
IND380005AAA -> IND382430AAB | Carting	IND380005AAA	IND382430AAB	Carting	2018-09-10	3	1	12.67	NULL	NULL	33.33	NULL	NULL
